,"+","-","\cdot","!","^","_","(",")","\left|","\right|","{","}","NumberLiteral","CharacterLiteral","F0Name","F1Name","\frac","\sqrt","[","]","\log",$,"Expression","BinaryExpression","UnaryExpression","IndexExpression","PrimaryExpression","SeriesExpression","SingleExpression","FunctionExpression",
I17,"r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1",,"r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1",,"r/FunctionExpression/1","r/FunctionExpression/1","r/FunctionExpression/1",,,,,,,,,
I18,,,,,,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,,,"s36","s9","s13","s16",
I19,,,,,,,,,,,"s37",,,,,,,,,,,,,,,,,,,,
I20,,,,,,,,,,,"s38",,,,,,,,"s39",,,,,,,,,,,,
I21,,,,,,"s41","s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,,,"s40","s9","s13","s16",
I22,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,"s42","s4","s8","s9","s13","s16",
I23,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,"s43","s4","s8","s9","s13","s16",
I24,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,"s44","s4","s8","s9","s13","s16",
I25,,,,,,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,,,"s45","s9","s13","s16",
I26,,,,,,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,,,"s46","s9","s13","s16",
I27,"r/UnaryExpression/2","r/UnaryExpression/2","r/UnaryExpression/2",,"s25","s26",,"r/UnaryExpression/2",,"r/UnaryExpression/2",,"r/UnaryExpression/2",,,,,,,,"r/UnaryExpression/2",,"r/UnaryExpression/2",,,,,,,,,
I28,"r/UnaryExpression/2","r/UnaryExpression/2","r/UnaryExpression/2",,"s25","s26",,"r/UnaryExpression/2",,"r/UnaryExpression/2",,"r/UnaryExpression/2",,,,,,,,"r/UnaryExpression/2",,"r/UnaryExpression/2",,,,,,,,,
I29,"r/UnaryExpression/2","r/UnaryExpression/2","r/UnaryExpression/2",,"s25","s26",,"r/UnaryExpression/2",,"r/UnaryExpression/2",,"r/UnaryExpression/2",,,,,,,,"r/UnaryExpression/2",,"r/UnaryExpression/2",,,,,,,,,
I30,"r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2",,"r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2",,"r/SeriesExpression/2","r/SeriesExpression/2","r/SeriesExpression/2",,,,,,,,,
I31,"r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2",,"r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2",,"r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2",,,,,,,,,
I32,,,,,,,,"s47",,,,,,,,,,,,,,,,,,,,,,,
I33,,,,,,,,,,"s48",,,,,,,,,,,,,,,,,,,,,
I34,"r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2",,"r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2",,"r/PrimaryExpression/2","r/PrimaryExpression/2","r/PrimaryExpression/2",,,,,,,,,
I35,,,,,,,,,,,,"s49",,,,,,,,,,,,,,,,,,,
I36,"r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2",,"r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2",,"r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2",,,,,,,,,
I37,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,"s50","s2","s3","s4","s8","s9","s13","s16",
I38,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,"s51","s2","s3","s4","s8","s9","s13","s16",
I39,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,"s52","s2","s3","s4","s8","s9","s13","s16",
I40,"r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2",,"r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2",,"r/FunctionExpression/2","r/FunctionExpression/2","r/FunctionExpression/2",,,,,,,,,
I41,,,,,,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,,,"s53","s9","s13","s16",
I42,"r/BinaryExpression/3","r/BinaryExpression/3","r/BinaryExpression/3",,,,,"r/BinaryExpression/3",,"r/BinaryExpression/3",,"r/BinaryExpression/3",,,,,,,,"r/BinaryExpression/3",,"r/BinaryExpression/3",,,,,,,,,
I43,"r/BinaryExpression/3","r/BinaryExpression/3","r/BinaryExpression/3",,,,,"r/BinaryExpression/3",,"r/BinaryExpression/3",,"r/BinaryExpression/3",,,,,,,,"r/BinaryExpression/3",,"r/BinaryExpression/3",,,,,,,,,
I44,"r/BinaryExpression/3","r/BinaryExpression/3","r/BinaryExpression/3",,,,,"r/BinaryExpression/3",,"r/BinaryExpression/3",,"r/BinaryExpression/3",,,,,,,,"r/BinaryExpression/3",,"r/BinaryExpression/3",,,,,,,,,
I45,"r/IndexExpression/3","r/IndexExpression/3","r/IndexExpression/3",,"r/IndexExpression/3","r/IndexExpression/3",,"r/IndexExpression/3",,"r/IndexExpression/3",,"r/IndexExpression/3",,,,,,,,"r/IndexExpression/3",,"r/IndexExpression/3",,,,,,,,,
I46,"r/IndexExpression/3","r/IndexExpression/3","r/IndexExpression/3",,"r/IndexExpression/3","r/IndexExpression/3",,"r/IndexExpression/3",,"r/IndexExpression/3",,"r/IndexExpression/3",,,,,,,,"r/IndexExpression/3",,"r/IndexExpression/3",,,,,,,,,
I47,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,,,,,,,,
I48,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,,,,,,,,
I49,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,"r/PrimaryExpression/3","r/PrimaryExpression/3","r/PrimaryExpression/3",,,,,,,,,
I50,,,,,,,,,,,,"s54",,,,,,,,,,,,,,,,,,,
I51,,,,,,,,,,,,"s55",,,,,,,,,,,,,,,,,,,
I52,,,,,,,,,,,,,,,,,,,,"s56",,,,,,,,,,,
I53,,,,,,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,,,,,"s57","s9","s13","s16",
I54,,,,,,,,,,,"s58",,,,,,,,,,,,,,,,,,,,
I55,"r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4",,"r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4",,"r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4",,,,,,,,,
I56,,,,,,,,,,,"s59",,,,,,,,,,,,,,,,,,,,
I57,"r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4",,"r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4",,"r/FunctionExpression/4","r/FunctionExpression/4","r/FunctionExpression/4",,,,,,,,,
I58,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,"s60","s2","s3","s4","s8","s9","s13","s16",
I59,"s5","s6",,"s7",,,"s10",,"s11",,"s12",,"s14","s15","s17","s18","s19","s20",,,"s21",,"s61","s2","s3","s4","s8","s9","s13","s16",
I60,,,,,,,,,,,,"s62",,,,,,,,,,,,,,,,,,,
I61,,,,,,,,,,,,"s63",,,,,,,,,,,,,,,,,,,
I62,"r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7",,"r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7",,"r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7",,,,,,,,,
I63,"r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7",,"r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7",,"r/FunctionExpression/7","r/FunctionExpression/7","r/FunctionExpression/7",,,,,,,,,
